epoch,train_loss,train_acc,val_loss,val_acc
1,1.9854942389896937,0.4440228853906904,2.1626323461532593,0.09736084938049316
2,1.5587966442108154,0.7148516774177551,2.1041184663772583,0.34658050537109375
3,1.290757383619036,0.7793842554092407,1.9086329340934753,0.6953664720058441
4,1.061919093132019,0.8205521702766418,1.5648894309997559,0.7764845788478851
5,0.9125910997390747,0.8419317092214312,1.207173228263855,0.827044665813446
6,0.8434615816388812,0.8438386235918317,0.9452847242355347,0.8538187444210052
7,0.7447599513190133,0.8596323558262416,0.7812749147415161,0.868044376373291
8,0.641165520463671,0.8818601880754743,0.6891488432884216,0.8785574436187744
9,0.6242925269263131,0.8796031134469169,0.646529495716095,0.8811791837215424
10,0.5481125456946236,0.8958644185747419,0.5943667590618134,0.890902042388916
11,0.5202597379684448,0.8979857308523995,0.5528599768877029,0.8944285809993744
12,0.4876686547483717,0.9051189933504377,0.5427254140377045,0.894355297088623
13,0.4978586733341217,0.8972537176949638,0.4962567090988159,0.9019447267055511
14,0.43363974349839346,0.9134380306516375,0.48897525668144226,0.9034256935119629
15,0.4436504968575069,0.9109857678413391,0.4686172902584076,0.905465841293335
16,0.42825827428272795,0.9128757034029279,0.46594369411468506,0.9069663882255554
17,0.3981210802282606,0.9182147809437343,0.43699583411216736,0.9117740094661713
18,0.4013690139566149,0.916095895426614,0.43086162209510803,0.9134728312492371
19,0.3728791688169752,0.9235712715557644,0.42271918058395386,0.912451982498169
20,0.40555253624916077,0.9207868576049805,0.4207337349653244,0.9150730073451996
21,0.36335232428142,0.9245779003415789,0.4245006740093231,0.9119372367858887
22,0.35517144203186035,0.9256857718740191,0.4152032732963562,0.9144345223903656
23,0.3504497451441629,0.9277374914714268,0.40708574652671814,0.9145275950431824
24,0.33332377672195435,0.931033798626491,0.3930473327636719,0.9150649011135101
25,0.3321583185877119,0.931050283568246,0.3872681111097336,0.9159389436244965
26,0.32717551929610117,0.9301657676696777,0.38482242822647095,0.9179930686950684
27,0.33499387332371305,0.9280086244855609,0.3846387565135956,0.9183516502380371
28,0.31274095603397917,0.9342014278684344,0.3976828008890152,0.915149062871933
29,0.2987623001847948,0.9361044594219753,0.379826158285141,0.9188106954097748
30,0.30697658232280184,0.9359689014298576,0.37449538707733154,0.9197771549224854
31,0.31669714195387705,0.9333616665431431,0.37679852545261383,0.9193771779537201
32,0.2969503785882677,0.9344540578978402,0.3731009513139725,0.9177927374839783
33,0.29706698656082153,0.9353199260575431,0.3781546503305435,0.917755126953125
34,0.29431889738355366,0.9367814574922834,0.3817864805459976,0.9174596667289734
35,0.2776223463671548,0.9389074189322335,0.37871570885181427,0.9174330234527588
36,0.3001547519649778,0.935620401586805,0.37563595175743103,0.9183763861656189
37,0.2840458090816225,0.9364263670785087,0.4005606472492218,0.9154032170772552
38,0.28859672163214,0.9369194677897862,0.3574395179748535,0.9222168326377869
39,0.3282368396009718,0.9329388737678528,0.37660929560661316,0.9171274602413177
40,0.27899363211223055,0.9382624881608146,0.3855572044849396,0.9174232482910156
41,0.2850826105901173,0.9366133809089661,0.3687249571084976,0.9200544357299805
42,0.26840988227299284,0.9400120036942619,0.36737969517707825,0.921100378036499
43,0.2754000553062984,0.9402820297649929,0.34952519834041595,0.924358457326889
44,0.25591579718249186,0.942199570792062,0.35043320059776306,0.9233138561248779
45,0.26796531890119824,0.9395685706819806,0.3400925099849701,0.9260315895080566
46,0.2502948024443218,0.9438274502754211,0.3544609695672989,0.9218614995479584
47,0.25435878549303326,0.9425304106303624,0.3514642119407654,0.9231619238853455
48,0.2522449940443039,0.9436160751751491,0.3525660037994385,0.9215952754020691
49,0.25709884081568035,0.9429440498352051,0.33640260994434357,0.924689769744873
50,0.2656370422669819,0.940492068018232,0.3376123756170273,0.9267705380916595
