epoch,train_loss,train_acc,val_loss,val_acc
1,2.3133271762302945,0.2382259624344962,2.130456328392029,0.2896738052368164
2,2.0477136203220914,0.3379896708897182,2.187231421470642,0.3770584315061569
3,1.8729455300739832,0.4585071972438267,2.1941665410995483,0.43310436606407166
4,1.7326814787728446,0.5581832868712289,1.7017666101455688,0.6024359166622162
5,1.6160756179264613,0.643762298992702,1.6546185612678528,0.6543326377868652
6,1.5437350102833338,0.7021477818489075,1.672061800956726,0.651601642370224
7,1.4887168066842216,0.727636320250375,1.5823069214820862,0.6758376955986023
8,1.3951884337833949,0.7589828201702663,1.4023025035858154,0.7420732975006104
9,1.332356674330575,0.7743370192391532,1.4470319747924805,0.7331063151359558
10,1.230689423424857,0.8122830220631191,1.2481907606124878,0.792109489440918
11,1.1605573892593384,0.8264009867395673,1.2002561688423157,0.8041061758995056
12,1.0985613209860665,0.8391799075262887,1.1358182430267334,0.8044069707393646
13,1.0691942742892675,0.8381246158054897,1.1025548577308655,0.8113561570644379
14,1.0512707829475403,0.8342586244855609,1.0723352134227753,0.8157504498958588
15,1.0081925647599357,0.8426752601351056,1.012789249420166,0.8385030627250671
16,0.9428278122629438,0.8553518142019,0.943209707736969,0.8498191833496094
17,0.9084094847951617,0.8569023524011884,0.9940463900566101,0.8300676345825195
18,0.9029209358351571,0.8566232238497052,0.9409385919570923,0.8345818519592285
19,0.8625235302107674,0.8572986721992493,0.8985939025878906,0.8420621752738953
20,0.8352192299706596,0.8616675479071481,0.923388659954071,0.8449726998806
21,0.818761272089822,0.8643356731959752,0.913567990064621,0.8371434211730957
22,0.7851563266345433,0.8661716154643467,0.8382652997970581,0.8548739850521088
23,0.7723753111703056,0.8690116064889091,0.7980648577213287,0.8646522462368011
24,0.7448618752615792,0.8730794191360474,0.7805382907390594,0.8578097224235535
25,0.7332768014499119,0.8738900593348912,0.9258054494857788,0.8331151008605957
26,0.7100439156804766,0.8772655044283185,0.8021182417869568,0.8423527181148529
27,0.6811518328530448,0.8816949810300555,0.7380936741828918,0.8718431890010834
28,0.664722374507359,0.885672960962568,0.7952553927898407,0.8540139198303223
29,0.6526901721954346,0.8847082512719291,0.8413977026939392,0.8419153690338135
30,0.6146160108702523,0.8924509286880493,0.7980003654956818,0.8485055863857269
31,0.6313148651804242,0.8871801240103585,0.7207808196544647,0.8614301085472107
32,0.6692339777946472,0.880207359790802,0.7367304861545563,0.861029714345932
33,0.6181577358927045,0.8886639986719403,0.7577740252017975,0.8557348251342773
34,0.6069863012858799,0.8907907605171204,0.7314188778400421,0.8651388585567474
35,0.6286395021847316,0.8817804030009678,0.9420364797115326,0.8051807880401611
36,0.6107413853917804,0.8848386747496468,0.7048777341842651,0.8586050868034363
37,0.6254616124289376,0.8836087499346051,0.754406601190567,0.8479338586330414
38,0.5636821516922542,0.8963318552289691,0.6460764408111572,0.8794218003749847
39,0.560636852468763,0.8928736107689994,0.6690081655979156,0.8654045462608337
40,0.5469433537551335,0.8986704519816807,0.6231981366872787,0.8814588487148285
41,0.547190819467817,0.8946574074881417,0.5828334838151932,0.889121949672699
42,0.5014879022325788,0.9045843396868024,0.612084150314331,0.8773882389068604
43,0.5037189679486411,0.9041349547249931,0.666047990322113,0.872403621673584
44,0.4956930237157004,0.9072351285389492,0.6242869198322296,0.8796579241752625
45,0.4746979687895094,0.9095293283462524,0.6042360216379166,0.8810853958129883
46,0.490047744342259,0.9065617408071246,0.5695210993289948,0.8895785212516785
47,0.4778888864176614,0.9100692868232727,0.5801568329334259,0.8874573707580566
48,0.46810764500073027,0.9096707446234567,0.6188913583755493,0.8785158097743988
49,0.517653980425426,0.8996035030909947,0.6124387681484222,0.8802286982536316
50,0.5418331921100616,0.8984565564564296,0.6919354200363159,0.868537187576294
