epoch,train_loss,train_acc,val_loss,val_acc
1,2.0547796147210255,0.38578195231301443,2.178576946258545,0.21524763107299805
2,1.7346079519816808,0.6038694892610822,2.138308048248291,0.404832124710083
3,1.4965519223894392,0.6831368974276951,1.9598575234413147,0.6142870783805847
4,1.3464599336896623,0.7122466734477452,1.6955028176307678,0.5962387025356293
5,1.2554755892072404,0.7196131689207894,1.4611458778381348,0.6599394679069519
6,1.145890406199864,0.7456944329398019,1.2107166647911072,0.7384596765041351
7,1.0898622529847282,0.7613546081951686,1.1354855597019196,0.7481282651424408
8,1.0335801328931535,0.7702789562089103,1.2450263500213623,0.7023786008358002
9,0.9783250944955009,0.7881747909954616,1.0395188927650452,0.7720393538475037
10,0.9323316812515259,0.797778878893171,0.9666125774383545,0.7877295911312103
11,0.9103215847696576,0.7949837275913784,0.8659457266330719,0.8139595985412598
12,0.8395536627088275,0.8188354202679226,0.793639600276947,0.8336290717124939
13,0.7977601204599652,0.823818734713963,0.8586496114730835,0.810841977596283
14,0.7624612620898655,0.8339718665395465,0.7429260015487671,0.8428860604763031
15,0.7546741706984383,0.8304306013243539,0.908298671245575,0.800393283367157
16,0.7479214242526463,0.834959055696215,0.926600307226181,0.796661376953125
17,0.6837002379553658,0.8498160328183856,0.771112471818924,0.8290895819664001
18,0.6814530321529934,0.8450259481157575,0.7574513554573059,0.8371168971061707
19,0.6600775292941502,0.8515404547963824,0.6905598938465118,0.8550078868865967
20,0.6250876273427691,0.8626237426485334,0.7179487943649292,0.843505322933197
21,0.6295277731759208,0.8634112051555088,0.6914096474647522,0.8446829319000244
22,0.5905187385422843,0.8704040902001517,0.6924470961093903,0.8480145931243896
23,0.5882831641605922,0.8708182317870004,0.6581965088844299,0.8538348078727722
24,0.5508203506469727,0.8810801335743496,0.6374125778675079,0.8677843511104584
25,0.5267441655908313,0.8839465805462429,0.6550098210573196,0.8531129360198975
26,0.5415039658546448,0.8799252510070801,0.6234656274318695,0.8679234981536865
27,0.6120911325727191,0.8610863515308925,0.6744531095027924,0.86625075340271
28,0.6119623013905117,0.8605159180504935,0.8863624334335327,0.7973349988460541
29,0.6305570091520037,0.8574763025556292,0.9028991460800171,0.802213042974472
30,0.5566939285823277,0.8756899152483258,0.6781187355518341,0.8542629182338715
31,0.5196057941232409,0.8820834159851074,0.6592795103788376,0.8499711453914642
32,0.5024793360914502,0.8892701693943569,0.5885756015777588,0.8696325719356537
33,0.48823066694395884,0.8905421239989144,0.6393221765756607,0.8553988933563232
34,0.48612452830587116,0.890121306691851,0.6286129802465439,0.8625564575195312
35,0.5021894872188568,0.8848782522337777,0.595809817314148,0.8707837462425232
36,0.4810012366090502,0.8900661979402814,0.6032780110836029,0.870617002248764
37,0.467985349042075,0.8978153467178345,0.6155715584754944,0.8657043874263763
38,0.5060710055487496,0.885341397353581,0.6164944469928741,0.8710618019104004
39,0.4404152546610151,0.9033423406737191,0.6044789850711823,0.8731472492218018
40,0.4458970810685839,0.8987478358404977,0.5623801648616791,0.8777752816677094
41,0.4309727932725634,0.9034566879272461,0.5561652481555939,0.878201812505722
42,0.45977908798626493,0.8957311085292271,0.6201910227537155,0.862419456243515
43,0.4228029251098633,0.9031340565000262,0.5826750993728638,0.8698011338710785
44,0.4105714133807591,0.9084669521876744,0.5625049471855164,0.875434160232544
45,0.4220836119992392,0.9039369566099984,0.5702119171619415,0.8745401799678802
46,0.42750457354954313,0.9047741719654628,0.5526684820652008,0.8755443096160889
47,0.4091431328228542,0.9064915350505284,0.5446859002113342,0.884260356426239
48,0.39956814902169363,0.9077221580914089,0.5671516954898834,0.8811761736869812
49,0.38271963596343994,0.9128679122243609,0.5666532218456268,0.8811163306236267
50,0.38976160117558073,0.912218417440142,0.540844053030014,0.884633868932724
