epoch,train_loss,train_acc,val_loss,val_acc
1,1.9498423848833357,0.45923750741141184,1.9304186701774597,0.5390403270721436
2,1.7216356481824602,0.5750813739640372,1.7750427722930908,0.5898650586605072
3,1.5835797786712646,0.6470405544553485,1.4992924928665161,0.7059113383293152
4,1.471002357346671,0.6803000824792045,1.4464063048362732,0.7064423561096191
5,1.3690755537578039,0.7093663471085685,1.3886359930038452,0.7094485759735107
6,1.3077571392059326,0.7214581625802177,1.3866628408432007,0.7091002464294434
7,1.24865118094853,0.7431813904217311,1.1833106875419617,0.7778472304344177
8,1.1649147783006941,0.7717314447675433,1.2855030298233032,0.7299685478210449
9,1.1166785785130091,0.7853573220116752,1.210997611284256,0.7539394795894623
10,1.0770702702658517,0.7850914512361798,1.058001548051834,0.8074624538421631
11,1.0348960331508092,0.8002451998846871,1.003451943397522,0.8156791627407074
12,0.9569827233042035,0.8181086778640747,0.9688008725643158,0.8192828595638275
13,0.9129423158509391,0.8295628683907645,0.9312751293182373,0.8222727179527283
14,0.9069640636444092,0.828666261264256,0.9370232820510864,0.8319002985954285
15,0.8823471239634922,0.8307164311408997,0.8414952754974365,0.8491192758083344
16,0.8122369221278599,0.848780632019043,0.9038976430892944,0.8286747932434082
17,0.7832722408430917,0.8518256715365818,0.8246648907661438,0.847134917974472
18,0.7750420485224042,0.8536186729158673,0.8925384283065796,0.8240107893943787
19,0.7420563357216972,0.8609527860369001,0.7717084288597107,0.8477107882499695
20,0.7288101826395307,0.860386848449707,0.8372152149677277,0.8381811082363129
21,0.7111553379467556,0.865290641784668,0.846752941608429,0.8351309299468994
22,0.7349198460578918,0.8537841098649162,0.7278304696083069,0.861553281545639
23,0.6699408463069371,0.8712266087532043,0.830172598361969,0.8394507765769958
24,0.7259431821959359,0.857284026486533,0.6958287358283997,0.8607075214385986
25,0.6478038770811898,0.8737965311322894,0.6914238929748535,0.8609636723995209
26,0.6260722705296108,0.8761221851621356,0.8533210158348083,0.8244466781616211
27,0.6471464208194188,0.8703045674732753,0.6964453756809235,0.8569245338439941
28,0.596126390354974,0.8821490406990051,0.6634096205234528,0.8728688657283783
29,0.5542568138667515,0.8931073290961129,0.739146500825882,0.8559788167476654
30,0.5664997867175511,0.8880831854684013,0.7066629827022552,0.8602184653282166
31,0.5560097353799003,0.8879900915282113,0.677388608455658,0.8687528967857361
32,0.554791910307748,0.8897094556263515,0.6425025165081024,0.8689156472682953
33,0.5410040446690151,0.892432621547154,0.6563080847263336,0.8679936826229095
34,0.5395629065377372,0.8908236197062901,0.6265804469585419,0.8706702589988708
35,0.5947592428752354,0.8785926273890904,0.6691550761461258,0.8635823726654053
36,0.5361659952572414,0.8917901175362724,0.6220767199993134,0.8732469975948334
37,0.5093494951725006,0.8949023485183716,0.6110288053750992,0.8750240206718445
38,0.5236774384975433,0.8927318964685712,0.7195321321487427,0.8605899214744568
39,0.4841215567929404,0.9016726187297276,0.7033105194568634,0.8530164659023285
40,0.46126637714249746,0.9065407855170113,0.6158571541309357,0.8728108406066895
41,0.5081923689161029,0.8957987087113517,0.626666396856308,0.8773824572563171
42,0.49307829567364286,0.8984529205730983,0.6261128187179565,0.8743642270565033
43,0.4685902382646288,0.900855473109654,0.5982077121734619,0.8744548261165619
44,0.48539113998413086,0.8991282837731498,0.6011117994785309,0.8741308152675629
45,0.47472151262419565,0.9036234446934291,0.651295855641365,0.8693454265594482
46,0.4699883333274296,0.9005726405552456,0.6136550158262253,0.872222363948822
47,0.4720947657312666,0.9031085797718593,0.6729183495044708,0.8529289662837982
48,0.469654096024377,0.9032429116112846,0.6101615279912949,0.8765407502651215
49,0.4547612283911024,0.9034439325332642,0.5909983515739441,0.8718942999839783
50,0.4536036593573434,0.9035866601126534,0.5803734958171844,0.8789343237876892
