Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,1.995860253061567,0.4113276813711439,1.9307918548583984,0.4067970961332321
2,1.7342113426753454,0.5413111277988979,1.663741648197174,0.5738063752651215
3,1.5042757647378104,0.6867789796420506,1.503434658050537,0.7057219445705414
4,1.3321909052985055,0.7547475099563599,1.3289873003959656,0.7697348594665527
5,1.2112036432538713,0.7930362139429364,1.2065354585647583,0.7984705865383148
6,1.1120458160127913,0.8296518581254142,1.1295123100280762,0.8218874931335449
7,1.0912450126239233,0.8413859350340707,1.0229603052139282,0.8620319366455078
8,1.0156589916774206,0.8702653050422668,0.9776669442653656,0.8847976624965668
9,0.9624361651284354,0.886170642716544,0.9394717514514923,0.8992359638214111
10,0.8651221309389386,0.9115249344280788,0.9018833041191101,0.9012411534786224
11,0.8383721113204956,0.9106459447315761,0.8618238866329193,0.9071025848388672
12,0.8002688458987645,0.9130111677306039,0.8276763260364532,0.9074310660362244
13,0.7577394247055054,0.9194949695042202,0.7854947149753571,0.9098278880119324
14,0.7118980118206569,0.9218531847000122,0.7740513682365417,0.9071919322013855
15,0.6897366046905518,0.922390375818525,0.7491086721420288,0.9073318839073181
16,0.6478586282048907,0.9258837529591152,0.7214045822620392,0.9075624942779541
17,0.601267967905317,0.9339991552489144,0.6994901299476624,0.9064939916133881
18,0.6448842797960553,0.916978086744036,0.6705042123794556,0.9092491567134857
19,0.5854170663016183,0.9247757366725377,0.6418238878250122,0.9080827236175537
20,0.565916393484388,0.9284732512065342,0.615835428237915,0.9162159860134125
21,0.5082867358412061,0.9354084389550346,0.6038582921028137,0.9138779640197754
22,0.5108172808374677,0.9326650585447039,0.597078263759613,0.9131101965904236
23,0.47187231693949017,0.9371055449758258,0.562236487865448,0.9165887236595154
24,0.46715077332087923,0.9377021619251796,0.5510443449020386,0.9168449342250824
25,0.4472628491265433,0.93770774773189,0.5228305459022522,0.9198907315731049
26,0.4307959164891924,0.9416097061974662,0.5128155946731567,0.9190950393676758
27,0.45591956802776884,0.936535290309361,0.5097240507602692,0.9207073152065277
28,0.4118883396897997,0.9400705439703805,0.48752644658088684,0.9204241633415222
29,0.40099553550992695,0.9390374847820827,0.49020299315452576,0.9170395731925964
30,0.3762608127934592,0.9422231231416974,0.48408442735671997,0.9170330464839935
31,0.3796768145901816,0.9410275561468942,0.552890419960022,0.9063003063201904
32,0.36387317521231516,0.9397576195853097,0.5183340907096863,0.9098004698753357
33,0.3748349462236677,0.9365445119994027,0.47953981161117554,0.9191786646842957
34,0.36982292362621855,0.9400733113288879,0.4342687875032425,0.9247753024101257
35,0.3537342633519854,0.9418029359408787,0.4439031183719635,0.9211854934692383
36,0.3190717484269823,0.9461427671568734,0.4279944896697998,0.9219739437103271
37,0.33367366024426054,0.9435652835028512,0.40661732852458954,0.9268267154693604
38,0.31093700017247883,0.949574317250933,0.4079159051179886,0.9267088770866394
39,0.3084712454250881,0.9462082982063293,0.41625821590423584,0.9240137934684753
40,0.3279193767479488,0.9433329956872123,0.460746705532074,0.9151432514190674
41,0.29279763996601105,0.9500653914042881,0.43878859281539917,0.920107364654541
42,0.3010937528950827,0.9483395559447152,0.43826642632484436,0.9204828143119812
43,0.28875461859362467,0.9494975890432086,0.4349004626274109,0.9219672083854675
44,0.2837748591388975,0.9490194831575666,0.40940122306346893,0.9233240485191345
45,0.27343563948358807,0.9503563472202846,0.3945430964231491,0.9270038604736328
46,0.2751901958669935,0.9509509461266654,0.391117587685585,0.9273669123649597
47,0.25953216425010134,0.9531056370053973,0.4052586555480957,0.9250858724117279
48,0.26657768871103016,0.9520734633718219,0.40313825011253357,0.924419492483139
49,0.24624704463141306,0.9558936783245632,0.41249316930770874,0.9224693775177002
50,0.25526552328041624,0.9536870547703334,0.43289971351623535,0.9204897880554199
