Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,0.989027908870152,0.43822442917596727,1.0762795209884644,0.3725156784057617
2,0.8297384466443744,0.6792168617248535,1.050270676612854,0.37280495961507165
3,0.7320662566593715,0.7915343102954683,0.9706662893295288,0.5773306687672932
4,0.6551663534981864,0.8476424444289435,0.8300913572311401,0.7635044256846111
5,0.6338294233594622,0.8477799324762253,0.6855684816837311,0.8403135935465496
6,0.5980633667537144,0.8705475670950753,0.6407091319561005,0.8572328885396321
7,0.5714903559003558,0.8845551581609817,0.5939096808433533,0.8624841372172039
8,0.549292232309069,0.89254211244129,0.5646698176860809,0.8855543931325276
9,0.5334254673549107,0.8976820764087495,0.5533348321914673,0.8932490348815918
10,0.5254893473216465,0.9021299453008743,0.5369563102722168,0.902296781539917
11,0.5156146883964539,0.9065993172781808,0.5199422240257263,0.9068053563435872
12,0.5070018342563084,0.9079951558794294,0.531640887260437,0.9054088592529297
13,0.49641343525477816,0.9085797128223237,0.5395914912223816,0.8920634587605794
14,0.49235896127564566,0.91166927700951,0.5136517733335495,0.9106731414794922
15,0.47272369265556335,0.9230229741051084,0.5045542418956757,0.9124579429626465
16,0.47892504930496216,0.9147412209283737,0.4962206482887268,0.9140324592590332
17,0.46007334760257174,0.9232558522905622,0.4935998022556305,0.908454179763794
18,0.45579156279563904,0.9273703438895089,0.4969443529844284,0.9124039014180501
19,0.44618850094931467,0.9255022548493885,0.4907492399215698,0.9087529182434082
20,0.4449066732610975,0.9276801972162155,0.48043347895145416,0.9115100701649983
21,0.4406730277197702,0.92855741864159,0.4722270667552948,0.9164787133534749
22,0.43896985054016113,0.920036202385312,0.47463172674179077,0.9078912734985352
23,0.43005945001329693,0.9305808657691592,0.4757259488105774,0.908990462621053
24,0.42973445994513376,0.9284041949680873,0.49931710958480835,0.8861148357391357
25,0.42206880875996183,0.9239270573570615,0.4744124412536621,0.9042960802714031
26,0.41694306475775583,0.9297168822515579,0.45316722989082336,0.9109555085500081
27,0.4055266422884805,0.932476248059954,0.4481780081987381,0.915784517923991
28,0.41939794165747507,0.9239986056373233,0.4645882397890091,0.9004026254018147
29,0.4061114021709987,0.9292009444463821,0.46791426837444305,0.8980296452840169
30,0.39114872898374287,0.9346476736522856,0.44775810837745667,0.9111683368682861
31,0.41172016518456594,0.9251491682870048,0.4480930417776108,0.9069936275482178
32,0.3971119821071625,0.9332574889773414,0.4353180527687073,0.909614086151123
33,0.38157843691962107,0.9368550436837333,0.4367975443601608,0.9098962942759197
34,0.38817828467914034,0.9342183158511207,0.42265596985816956,0.9142017364501953
35,0.3803256409508841,0.9338755380539666,0.4193040132522583,0.9107682704925537
36,0.3719844860689981,0.937296572185698,0.42699168622493744,0.9051333268483479
37,0.3782821808542524,0.9321636472429548,0.4119207262992859,0.9189520676930745
38,0.37169985260282246,0.9348443349202473,0.4145888239145279,0.914966344833374
39,0.3648500314780644,0.9357108161562965,0.40843647718429565,0.9194095134735107
40,0.3494026277746473,0.9406751451038179,0.3999670445919037,0.9194306532541912
41,0.3521327716963632,0.9376494316827683,0.40444818139076233,0.9179610411326091
42,0.34161233476230074,0.9434997921898252,0.40025901794433594,0.9171309471130371
43,0.34803105677877155,0.940794513339088,0.39705124497413635,0.917304277420044
44,0.33692300745419096,0.9429803802853539,0.3947509229183197,0.9175451596577961
45,0.3428110182285309,0.942303839183989,0.39226096868515015,0.917551835378011
46,0.32784309131758554,0.9453003065926688,0.4017001986503601,0.9120574792226155
47,0.32899028062820435,0.9395827792939686,0.38528478145599365,0.9186879793802898
48,0.3386469568525042,0.9387316703796387,0.3854171335697174,0.9156086444854736
49,0.3297813832759857,0.9416079294113885,0.3847726583480835,0.9141430854797363
50,0.31509020924568176,0.9460640634809222,0.3837619125843048,0.9122850894927979
