model,sample,pixel_accuracy,mean_tissue_dice,Background_dice,Background_iou,Background_precision,Background_recall,Background_f1,Background_specificity,Tissue_dice,Tissue_iou,Tissue_precision,Tissue_recall,Tissue_f1,Tissue_specificity,OS_dice,OS_iou,OS_precision,OS_recall,OS_f1,OS_specificity,Vaginal_dice,Vaginal_iou,Vaginal_precision,Vaginal_recall,Vaginal_f1,Vaginal_specificity
UNet_Pretrained_Published,Day0_mm_results_Day0H_2B_S7,0.8957890676740368,0.874777250986354,0.9599532856620161,0.9229905468938968,0.9260662789238506,0.9964145042463262,0.9599532856620161,0.9652048059364206,0.8455013441103112,0.7323536842567775,0.8918033554376215,0.8037699840742254,0.8455013441103113,0.9581539782743372,0.915402711570606,0.8440023973286909,0.8650210157506851,0.9720161598031328,0.9154027115706062,0.9780034486188944,0.863427697278145,0.759676876878325,0.8786280455923873,0.8487443398996334,0.863427697278145,0.9569046455070329
UNet_Pretrained_Published,Day15_mm_results_D15C_S6A_2,0.9269331719029908,0.8505110222295147,0.9602980757865779,0.9236282567362597,0.940654760424696,0.9807792956945428,0.9602980757865779,0.9497894251035781,0.9167047910782247,0.8462188178517273,0.9760952096875822,0.8641270634926835,0.9167047910782248,0.9816399593866793,0.8312612193338209,0.7112463735138518,0.7213110700863717,0.9807593177794213,0.8312612193338208,0.9737552058836769,0.8035670562764984,0.6716356821266237,0.6734636569823955,0.9959749552772809,0.8035670562764984,0.9887721148561327
UNet_Pretrained_Published,Day14_mm_results_D14D_S8A_3,0.9486703772418058,0.6097544865436818,0.9771192530868964,0.9552621417850434,0.9911395932014488,0.9634900346842474,0.9771192530868963,0.9915311697005031,0.9409235759847371,0.8884378451343723,0.9312956543961142,0.9507526478812572,0.940923575984737,0.9503351860415812,0.8883398836463082,0.7991110507410426,0.921924379478161,0.8571162625052611,0.8883398836463082,0.9928492603672967,0.0,0.0,0.0,0.0,0.0,0.9885263964740826
UNet_Pretrained_Published,Day6_mm_results_Day6D_8B_S3,0.9442789808504473,0.914518940748842,0.9757742099251174,0.9526944345482427,0.9955734306559891,0.9567471375104611,0.9757742099251175,0.9953245249297881,0.9311012537543251,0.8710846158484701,0.9338915289696801,0.9283276024036434,0.9311012537543251,0.9551626678229392,0.812455568492201,0.6841475122414106,0.7134036159131099,0.943447824631262,0.812455568492201,0.9711129430455815,1.0,1.0,0.0,0.0,0.0,1.0
UNet_Pretrained_Published,Day18_mm_results_D18E_S2A_1,0.8371254911991746,0.8573908648874181,0.717076666953105,0.5589396096258338,0.5735923280519198,0.9562939660839364,0.7170766669531051,0.9449051116262047,0.8569466989519449,0.7496996843158742,0.9293953763205319,0.7949763207420537,0.8569466989519449,0.9485115387003293,0.904407135419015,0.8254956422748426,0.8558858848978853,0.9587604763040025,0.904407135419015,0.9698681934996383,0.8108187602912945,0.6818294244953845,0.8112559850519677,0.8103820065595495,0.8108187602912945,0.9150638368538702
UNet_Pretrained_Published,Day15_mm_results_D15F_S6B_2,0.9273984455070974,0.9000743035167441,0.9840183988400731,0.9685395854773728,0.9806991546537374,0.987360187754105,0.9840183988400731,0.99030800294165,0.9015849351294748,0.8208053257497415,0.9605955422577825,0.849404910095534,0.9015849351294747,0.9776590751519455,0.9137351470923457,0.8411716025299995,0.8482415355269433,0.9901886424838738,0.9137351470923457,0.9793682681873914,0.8849028283284118,0.7935656647769063,0.8278279895154955,0.9504305348916603,0.8849028283284118,0.958874836573511
UNet_Pretrained_Published,Day15_mm_results_Day15F_S6B_3,0.9185502626146489,0.890590816421168,0.9711780209109983,0.9439709110520306,0.9505470960844128,0.9927243724660478,0.9711780209109983,0.9748335877467036,0.8919405100786959,0.804957241187513,0.9659815984831577,0.8284416585720138,0.8919405100786959,0.9800787371758932,0.879846109279337,0.7854689579422687,0.7988250313246176,0.9791574600644763,0.879846109279337,0.9725422276789639,0.899985829905471,0.8181583968396803,0.8503801329592158,0.9557373903030515,0.8999858299054712,0.9664294123383861
UNet_Pretrained_Published,Day13_mm_results_D13D_S9A_5,0.8530294320032751,0.8127988135375382,0.9276841526867955,0.8651221139846079,0.9066499241591658,0.9497175477195695,0.9276841526867955,0.9570534202342312,0.8252658803594123,0.7025129061645916,0.877868298409762,0.7786110205412455,0.8252658803594124,0.9234485680519113,0.7946221784536817,0.659230794071108,0.8581517352703794,0.7398505396374391,0.7946221784536817,0.9863904862465023,0.818508381799521,0.6927754452005213,0.7352536317713568,0.9230249885465812,0.818508381799521,0.9267378305355007
UNet_Pretrained_Published,Day12_mm_results_Day12D_9B_S2,0.8248686261296849,0.48990962175605973,0.8367622994253022,0.719339047394956,0.7752714126446362,0.9088478410615234,0.8367622994253022,0.9707766857736666,0.8825359560650072,0.7897667588097786,0.8890081975975127,0.8761572730484104,0.8825359560650071,0.7115872714969893,0.587192909203172,0.4156214341138345,0.6115994917806149,0.564659520285745,0.587192909203172,0.9238664078879952,0.0,0.0,0.0,0.0,0.0,0.9932822082502772
UNet_Pretrained_Published,Day0_mm_results_Day0G_8B_S2,0.9376029999560171,0.9027804863965009,0.9722261016863523,0.945953291167992,0.9788634399662293,0.9656781682256576,0.9722261016863523,0.9904644313344626,0.9374324395388651,0.8822332568971301,0.9512438253419454,0.9240163769786389,0.9374324395388651,0.9521012365140243,0.8577117739739546,0.750871587775954,0.8024269641823274,0.9211781866258537,0.8577117739739545,0.9745857398914495,0.913197245676683,0.8402603343099485,0.8935853914750056,0.9336892748695343,0.913197245676683,0.9899866605872143
UNet_Pretrained_Published,Day15_mm_results_D15F_S6B_5,0.9291455805540313,0.8991559364674089,0.984187954349955,0.9688681666696982,0.9873521221907335,0.9810440021446493,0.984187954349955,0.9930924404910543,0.9007046243580106,0.8193472330691816,0.9572500070269815,0.8504669845209326,0.9007046243580106,0.9769317823849915,0.9044614544887456,0.825586154129028,0.8387495254680543,0.9813450461438673,0.9044614544887457,0.9783467991536156,0.8923017305554706,0.8055458378597338,0.829566312212733,0.9653020788745571,0.8923017305554705,0.9609563615102804
UNet_Pretrained_Published,Day6_mm_results_day6_4,0.8828904358638621,0.7301776168749535,0.9707267798578195,0.9431186597118757,0.9451811924182686,0.9976915751533927,0.9707267798578195,0.9463947458419705,0.8450012376630994,0.7316035871358119,0.8761862150377412,0.8159598214285714,0.8450012376630994,0.9264197730167454,0.7649103610245598,0.6193156649416035,0.6411283106657122,0.9479254518694912,0.7649103610245599,0.9756845032851611,0.580621251937201,0.40906717303584145,0.6742566510172144,0.5098213229203644,0.580621251937201,0.9769038785727816
