model,params_M,tree_nodes,gpu_ms,gpu_std,cpu_ms,cpu_std
UNet_Pretrained_Published,24.94334,,7.578363316133618,2.3364021211055324,170.3041299711913,9.095522110656468
UNet_NoPretrained,24.436804,,6.67198000010103,0.42358509100413716,169.73390331647047,15.555826561473179
UNetPlusPlus_Pretrained,26.079044,,14.344543303983906,1.5583457610069558,301.0127499854813,10.067807442248734
DeepLabV3Plus_Pretrained,22.438228,,9.689753308581809,6.119332288784948,138.67030333882818,15.354067897908601
RandomForest_Classical,,36320630,,,779.6652299817652,33.273370671128845
